ip,alive,is_camera,is_dvr,onvif,open_ports,exposed_via_upnp,latitude,longitude
192.168.1.113,False,False,False,False,,,,
192.168.1.229,False,False,False,False,,,,
192.168.1.7,True,False,False,False,,,,
192.168.1.197,False,False,False,False,,,,
192.168.1.43,False,False,False,False,,,,
192.168.1.246,False,False,False,False,,,,
192.168.1.152,False,False,False,False,,,,
192.168.1.183,False,False,False,False,,,,
192.168.1.74,False,False,False,False,,,,
192.168.1.40,False,False,False,False,,,,
192.168.1.19,False,False,False,False,,,,
192.168.1.69,False,False,False,False,,,,
192.168.1.29,False,False,False,False,,,,
192.168.1.150,False,False,False,False,,,,
192.168.1.176,False,False,False,False,,,,
192.168.1.117,False,False,False,False,,,,
192.168.1.21,False,False,False,False,,,,
192.168.1.245,False,False,False,False,,,,
192.168.1.123,False,False,False,False,,,,
192.168.1.94,False,False,False,False,,,,
192.168.1.112,False,False,False,False,,,,
192.168.1.24,False,False,False,False,,,,
192.168.1.3,False,False,False,False,,,,
192.168.1.141,False,False,False,False,,,,
192.168.1.205,False,False,False,False,,,,
192.168.1.105,False,False,False,False,,,,
192.168.1.100,True,False,False,False,,,,
192.168.1.104,False,False,False,False,,,,
192.168.1.165,False,False,False,False,,,,
192.168.1.178,False,False,False,False,,,,
192.168.1.151,False,False,False,False,,,,
192.168.1.33,False,False,False,False,,,,
192.168.1.108,False,False,False,False,,,,
192.168.1.42,False,False,False,False,,,,
192.168.1.9,True,False,False,False,,,,
192.168.1.98,False,False,False,False,,,,
192.168.1.28,False,False,False,False,,,,
192.168.1.115,False,False,False,False,,,,
192.168.1.10,False,False,False,False,,,,
192.168.1.58,False,False,False,False,,,,
192.168.1.17,False,False,False,False,,,,
192.168.1.35,False,False,False,False,,,,
192.168.1.72,False,False,False,False,,,,
192.168.1.198,False,False,False,False,,,,
192.168.1.216,False,False,False,False,,,,
192.168.1.93,False,False,False,False,,,,
192.168.1.163,False,False,False,False,,,,
192.168.1.170,False,False,False,False,,,,
192.168.1.95,False,False,False,False,,,,
192.168.1.194,False,False,False,False,,,,
192.168.1.70,False,False,False,False,,,,
192.168.1.186,False,False,False,False,,,,
192.168.1.226,False,False,False,False,,,,
192.168.1.247,False,False,False,False,,,,
192.168.1.37,False,False,False,False,,,,
192.168.1.173,False,False,False,False,,,,
192.168.1.167,False,False,False,False,,,,
192.168.1.57,False,False,False,False,,,,
192.168.1.50,False,False,False,False,,,,
192.168.1.172,False,False,False,False,,,,
192.168.1.88,False,False,False,False,,,,
192.168.1.222,False,False,False,False,,,,
192.168.1.250,False,False,False,False,,,,
192.168.1.125,False,False,False,False,,,,
192.168.1.214,False,False,False,False,,,,
192.168.1.233,False,False,False,False,,,,
192.168.1.134,False,False,False,False,,,,
192.168.1.148,False,False,False,False,,,,
192.168.1.208,False,False,False,False,,,,
192.168.1.64,False,False,False,False,,,,
192.168.1.101,False,False,False,False,,,,
192.168.1.241,False,False,False,False,,,,
192.168.1.254,False,False,False,False,,,,
192.168.1.220,False,False,False,False,,,,
192.168.1.130,False,False,False,False,,,,
192.168.1.191,False,False,False,False,,,,
192.168.1.240,False,False,False,False,,,,
